Wall time,Step,Value
1618728723.04242,0,0.313223034143448
1618728795.70119,1,0.033295791596174
1618728868.5131,2,0.049939423799515
1618728941.36849,3,0.015611651353538
1618729014.48501,4,0.024376833811402
1618729087.52408,5,0.030766256153584
1618729160.69882,6,0.022534720599651
1618729233.56457,7,0.023126961663365
1618729306.85983,8,0.029285216704011
1618729380.00889,9,0.022408306598663
1618729453.18301,10,0.020068440586329
1618729526.79791,11,0.031220337375999
1618729599.94805,12,0.019612640142441
1618729673.10031,13,0.020509619265795
1618729746.13057,14,0.022168427705765
1618729819.36041,15,0.018973488360643
1618729892.15423,16,0.015533111989498
1618729965.07856,17,0.018038909882307
1618730037.84412,18,0.01831017062068
1618730110.56767,19,0.016510544344783
