Wall time,Step,Value
1618736784.14595,0,1.23340344429016
1618736837.52481,1,0.12217652797699
1618736891.04822,2,0.09210554510355
1618736944.28871,3,0.064567849040032
1618736998.22605,4,0.052087236195803
1618737052.44879,5,0.0522929020226
1618737106.65981,6,0.050632670521736
1618737160.82377,7,0.046928070485592
1618737214.6114,8,0.053297813981772
1618737268.73341,9,0.042701836675406
1618737322.26477,10,0.046896856278181
1618737375.90799,11,0.044259928166866
1618737429.67696,12,0.044805653393269
1618737483.15914,13,0.030542153865099
1618737536.18547,14,0.035720985382795
1618737589.80517,15,0.03389410302043
1618737642.76568,16,0.024532506242395
1618737695.86785,17,0.030883269384503
1618737749.1667,18,0.025828164070845
1618737802.26938,19,0.025009015575051
