Wall time,Step,Value
1618726132.19586,0,0.072897754609585
1618726185.11503,1,0.06377837061882
1618726240.75679,2,0.05798439309001
1618726293.93163,3,0.048569701611996
1618726348.2097,4,0.043990403413773
1618726403.98599,5,0.047906737774611
1618726459.727,6,0.043752908706665
1618726514.11653,7,0.041016731411219
1618726569.69917,8,0.035588569939137
1618726624.89143,9,0.029754614457488
1618726679.91865,10,0.032162431627512
1618726735.42791,11,0.030734082683921
1618726788.31923,12,0.026692483574152
1618726842.87921,13,0.024096705019474
1618726897.53586,14,0.022148668766022
1618726951.00193,15,0.031661618500948
1618727006.30521,16,0.02189645729959
1618727061.6572,17,0.019977943971753
1618727114.8192,18,0.027190271764994
1618727167.76489,19,0.022621428593993
